Number	sp	SITE	FIRE_AGE	FIRE_SEVERITY	BLOCK	TREATMENT	TRANSECT_COMBO	transect	FIELD_NO	ORDER	FAMILY	GENUS	SUB_GENUS	SPECIES	SEX	FLOWER_CODE	USDA_CODE	FLOWER_SPECIES	COUNTRY	STATE	COUNTY	LATITUDE	LONGITUDE	DATE	TIME	COLLECTOR	DETERMINED_BY	NOTES	VERIFIED_BY	value	yr	newID	Idlevel
7261	Stelis__aff.permaculata	HE	NEW	HI	2	HENEWHI	HENEWHI2_3	HEHI2_3	61817LR	Hymenoptera	Megachilidae	Stelis		aff.permaculata	M	ERICAE	ERCA2	Erigeron caespitosus	USA	MT	Lewis & Clark Co.	46.71	-111.74	08/17/2014	02:19:00 PM	L.Roberts	T.Griswold	Specimen at Western Bee Lab in Utah		1	2014	Stelis__aff.permaculata	s
7262	Stelis__aff.permaculata	HE	NEW	HI	2	HENEWHI	HENEWHI2_3	HEHI2_3	62817LR	Hymenoptera	Megachilidae	Stelis		aff.permaculata	M	ERICAE	ERCA2	Erigeron caespitosus	USA	MT	Lewis & Clark Co.	46.71	-111.74	08/17/2014	02:19:00 PM	L.Roberts	T.Griswold	Specimen at Western Bee Lab in Utah		1	2014	Stelis__aff.permaculata	s
7263	Stelis__aff.permaculata	HE	UN	UN	1	HEUN	HEUN1_6	HEUN1_6	2286LR	Hymenoptera	Megachilidae	Stelis		aff.permaculata	M	ERICAE	ERCA2	Erigeron caespitosus	USA	MT	Lewis & Clark Co.	46.74	-111.76	08/06/2014	11:22:00 AM	L.Roberts	T.Griswold	Specimen at Western Bee Lab in Utah		1	2014	Stelis__aff.permaculata	s
7264	Stelis__aff.permaculata	HE	NEW	HI	2	HENEWHI	HENEWHI2_5	HEHI2_5	18730LR	Hymenoptera	Megachilidae	Stelis		aff.permaculata	M	ERICAE	ERCA2	Erigeron caespitosus	USA	MT	Lewis & Clark Co.	46.7	-111.74	07/30/2014	11:16:00 AM	L.Roberts	T.Griswold	Specimen at Western Bee Lab in Utah		1	2014	Stelis__aff.permaculata	s
4030	Hoplitis__albifrons.argentifrons	HE	MX	MX	1	HEMX	HEMX1_12	HEMX1_12	25LH61715	Hymenoptera	Megachilidae	Hoplitis		albifrons argentifrons	M	GAIARI	GAAR	Gaillardia aristata	USA	MT	Lewis & Clark Co.	46.69	-111.71	06/17/2015	02:10:00 PM	L.Hamburg	E.G.Reese	MED BEE		1	2015	Hoplitis__albifrons.argentifrons	s
4031	Hoplitis__albifrons.argentifrons	PV	MX	MX	2	PVMX	PVMX2_2	PVMX2_2	7729CQ	Hymenoptera	Megachilidae	Hoplitis		albifrons argentifrons	F	CHAANG	CHAN9	Chamerion angustifolium	USA	MT	Park Co.	45.27	-110.47	07/29/2014	10:40:00 AM	C.Qubain	T.Griswold			1	2014	Hoplitis__albifrons.argentifrons	s
4032	Hoplitis__albifrons.argentifrons	HE	MX	MX	1	HEMX	HEMX1_10	HEMX1_10	16FA61015	Hymenoptera	Megachilidae	Hoplitis		albifrons argentifrons	M	CRETEC	CRETE3	Crepis tectorum	USA	MT	Lewis & Clark Co.	46.7	-111.71	06/10/2015	12:40:00 PM	F.Ambrose	E.G.Reese	M BEE		1	2015	Hoplitis__albifrons.argentifrons	s
4033	Hoplitis__albifrons.argentifrons	PV	NEW	HI	1	PVNEWHI	PVNEWHI1_5	PVHI1_5	1ES7615	Hymenoptera	Megachilidae	Hoplitis		albifrons argentifrons	F	GALBOR	GABO2	Galium boreale	USA	MT	Park Co.	45.26	-110.47	07/06/2015	10:40:00 AM	E.Sawyer	E.G.Reese	LONG FUZZY BEE		1	2015	Hoplitis__albifrons.argentifrons	s
4034	Hoplitis__albifrons.argentifrons	PV	NEW	HI	1	PVNEWHI	PVNEWHI1_6	PVHI1_6	7ES61515	Hymenoptera	Megachilidae	Hoplitis		albifrons argentifrons	M	ASTAUS	ASTAU4	Astragalus australis	USA	MT	Park Co.	45.26	-110.47	06/15/2015	01:55:00 PM	E.Sawyer	E.G.Reese	M LONG BEE		1	2015	Hoplitis__albifrons.argentifrons	s
4035	Hoplitis__albifrons.argentifrons	PV	MX	MX	1	PVMX	PVMX1_9	PVMX1_9	49812CQ	Hymenoptera	Megachilidae	Hoplitis		albifrons argentifrons	F	CHAANG	CHAN9	Chamerion angustifolium	USA	MT	Park Co.	45.26	-110.48	08/12/2014	03:50:00 PM	C.Qubain	T.Griswold			1	2014	Hoplitis__albifrons.argentifrons	s
